concept,source,source_type,key_claim,relevance_to_slp,url
Portfolio structure,UNISA Programme in Forensic and Investigative Auditing,UNISA SLP example,"UNISA public SLP pages present qualification code, duration, language, target group, registration, administrator and module content.","Use this as the model for public-facing SLP concept notes.",https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Short-Learning-Programmes/Programmes/All-Programmes/Programme-in-Forensic-and-Investigative-Auditing-(71315)
Portfolio rationale,World Economic Forum Future of Jobs Report 2025,Labour-market report,"Technological change, AI, green transition and skills disruption are major forces shaping work to 2030.","Justifies an AI + HRM portfolio focused on managers and workforce transformation.",https://www.weforum.org/publications/the-future-of-jobs-report-2025/
Portfolio rationale,International Labour Organization Generative AI and Jobs,International organisation report,"Generative AI affects job quality and task composition, with augmentation and automation effects varying by occupation and context.","Supports course framing around task redesign and job quality rather than simple replacement narratives.",https://www.ilo.org/publications/generative-ai-and-jobs-global-analysis-potential-effects-job-quantity-and
AI + HRM work redesign,Brynjolfsson Li and Raymond Generative AI at Work,Working paper / field evidence,"A generative AI assistant improved customer support productivity on average, with stronger effects for less experienced workers.","Supports practical LLM use, learning transfer and uneven productivity effects in SLP 01.",https://arxiv.org/abs/2304.11771
AI + HRM work redesign,Tambe Cappelli and Yakubovich Artificial Intelligence in HRM,Peer-reviewed article,"AI in HRM faces challenges around complex HR phenomena, small datasets, accountability and employee reactions.","Core source for teaching why HR AI requires careful design and governance.",https://doi.org/10.1177/0008125619867910
Responsible AI governance,NIST AI Risk Management Framework,Official framework,"NIST AI RMF supports voluntary management of AI risks and trustworthiness across AI design, deployment and evaluation.","Anchor framework for SLP 02 governance modules and risk artefacts.",https://www.nist.gov/itl/ai-risk-management-framework
Responsible AI governance,ISO/IEC 42001:2023,International standard,"ISO/IEC 42001 specifies requirements for an organisational AI management system.","Supports AI governance, policy, roles, monitoring and continual improvement content.",https://www.iso.org/standard/42001
Responsible AI governance,Information Regulator South Africa POPIA resources,Official regulator source,"POPIA governs processing of personal information and includes requirements relevant to automated decision-making and security safeguards.","South African legal anchor for HR data, employee privacy and AI decision support.",https://inforegulator.org.za/acts/
Responsible AI governance,Köchling and Wehner Discriminated by an algorithm,Peer-reviewed systematic review,"Algorithmic decision-making in recruitment and HR development raises discrimination and fairness concerns.","Supports fairness, bias and audit modules in SLP 02.",https://doi.org/10.1007/s40685-020-00134-w
People analytics,Marler and Boudreau HR analytics evidence-based review,Peer-reviewed review,"HR analytics requires evidence-based reasoning, valid measures and organisational decision capability, not dashboards alone.","Supports analytics literacy and decision-quality framing in SLP 03.",https://doi.org/10.1080/09585192.2016.1244699
People analytics,OECD AI Principles,Intergovernmental principles,"OECD principles emphasise inclusive growth, human-centred values, transparency, robustness and accountability.","Useful governance lens for analytics and decision support.",https://oecd.ai/en/ai-principles
Agentic HRM,Shao et al Future of Work with AI Agents,Research working paper,"AI-agent adoption should distinguish automation from augmentation and preserve appropriate human agency.","Supports human-in-the-loop workflow design and automation readiness in SLP 04.",https://arxiv.org/abs/2506.06576
Agentic HRM,Yuksel et al Agentic AI for Human Resources,Research working paper,"LLM-driven candidate assessment can combine multi-source HR data, rubrics and interpretable reports, but needs auditability.","Useful emerging case for agentic recruitment workflow design.",https://arxiv.org/abs/2603.26710
AI education design,UNESCO Guidance for generative AI in education and research,UN agency guidance,"Generative AI education should attend to ethics, human agency, age-appropriate and context-aware use.","Supports responsible use expectations in learning activities and assessments.",https://www.unesco.org/en/articles/guidance-generative-ai-education-and-research
AI Green HRM,Renwick Redman and Maguire Green HRM review,Peer-reviewed review,"Green HRM links HR practices with environmental management through recruitment, training, performance and employee involvement.","Foundational Green HRM source for SLP 05.",https://doi.org/10.1111/j.1468-2370.2011.00328.x
AI Green HRM,Verdecchia Sallou and Cruz Systematic Review of Green AI,Research review,"Green AI research examines monitoring and reducing the environmental footprint of AI systems.","Connects sustainable AI choices to HR-led digital work transformation.",https://arxiv.org/abs/2301.11047
